# elapsed, speed,x,y,z,roll,pitch,yaw,heading,new yaw, gForceX,gForceY,gForceZ,quatX,quatY,quatZ,quatW
6.269,2.791,-0.114,-0.119,-0.498,-0.000,0.003,0.004,-1.856,-0.014,0.996,-0.013,-0.001,0.800,0.002,0.600
6.337,2.792,-0.116,-0.119,-0.498,-0.000,0.003,0.005,-1.851,-0.014,0.994,-0.014,-0.002,0.799,0.002,0.602
6.390,2.793,-0.107,-0.130,-0.498,0.000,0.004,0.005,-1.846,-0.017,0.995,-0.012,-0.002,0.797,0.002,0.604
6.458,2.795,-0.107,-0.140,-0.498,0.000,0.004,0.006,-1.840,-0.020,0.995,-0.011,-0.002,0.795,0.003,0.606
6.524,2.797,-0.094,-0.150,-0.498,0.000,0.004,0.006,-1.834,-0.023,0.996,-0.009,-0.002,0.794,0.003,0.608
6.579,2.800,-0.087,-0.158,-0.498,0.000,0.004,0.005,-1.829,-0.025,0.996,-0.008,-0.002,0.792,0.003,0.611
6.646,2.804,-0.074,-0.165,-0.498,0.000,0.004,0.007,-1.822,-0.028,0.998,-0.006,-0.002,0.790,0.003,0.613
6.712,2.807,-0.046,-0.172,-0.498,0.000,0.005,0.007,-1.815,-0.030,0.999,-0.002,-0.002,0.788,0.003,0.616
6.767,2.811,-0.052,-0.171,-0.498,0.000,0.005,0.006,-1.809,-0.030,0.999,-0.003,-0.002,0.786,0.003,0.618
6.834,2.815,-0.051,-0.173,-0.498,0.000,0.005,0.007,-1.803,-0.030,0.999,-0.003,-0.002,0.784,0.003,0.621
6.901,2.819,-0.052,-0.174,-0.499,0.000,0.005,0.007,-1.795,-0.031,0.999,-0.003,-0.002,0.782,0.003,0.624
6.956,2.822,-0.054,-0.175,-0.499,0.000,0.005,0.006,-1.789,-0.031,0.999,-0.003,-0.003,0.780,0.003,0.626
7.022,2.827,-0.054,-0.177,-0.499,0.000,0.005,0.007,-1.782,-0.032,0.999,-0.003,-0.003,0.777,0.004,0.629
7.089,2.832,-0.056,-0.178,-0.499,0.000,0.006,0.007,-1.775,-0.032,0.999,-0.003,-0.003,0.775,0.004,0.632
7.144,2.836,-0.055,-0.179,-0.499,0.000,0.006,0.006,-1.768,-0.033,0.999,-0.003,-0.003,0.773,0.004,0.634
7.211,2.841,-0.053,-0.181,-0.499,0.000,0.006,0.008,-1.761,-0.033,0.999,-0.003,-0.003,0.771,0.004,0.637
7.266,2.845,-0.056,-0.182,-0.499,0.000,0.006,0.006,-1.754,-0.034,0.999,-0.003,-0.003,0.769,0.004,0.640
7.332,2.851,-0.055,-0.183,-0.499,0.000,0.006,0.008,-1.747,-0.034,0.999,-0.003,-0.003,0.766,0.004,0.643
7.399,2.857,-0.057,-0.185,-0.499,0.000,0.006,0.008,-1.739,-0.035,0.999,-0.003,-0.003,0.764,0.004,0.646
7.455,2.861,-0.057,-0.186,-0.499,0.000,0.007,0.007,-1.732,-0.035,0.998,-0.003,-0.003,0.761,0.004,0.648
7.520,2.868,-0.056,-0.188,-0.499,0.000,0.007,0.008,-1.723,-0.036,0.998,-0.003,-0.004,0.759,0.004,0.651
7.586,2.874,-0.058,-0.189,-0.499,0.000,0.007,0.008,-1.715,-0.037,0.998,-0.003,-0.004,0.756,0.004,0.655
7.642,2.879,-0.058,-0.191,-0.500,0.000,0.007,0.007,-1.708,-0.037,0.998,-0.003,-0.004,0.754,0.005,0.657
7.709,2.886,-0.058,-0.192,-0.500,0.000,0.007,0.009,-1.699,-0.038,0.998,-0.003,-0.004,0.751,0.005,0.660
7.774,2.893,-0.060,-0.194,-0.500,0.000,0.008,0.009,-1.691,-0.039,0.998,-0.004,-0.004,0.748,0.005,0.664
7.843,2.900,-0.058,-0.196,-0.500,0.000,0.008,0.009,-1.682,-0.039,0.998,-0.003,-0.004,0.745,0.005,0.667
7.897,2.906,-0.058,-0.197,-0.500,0.000,0.008,0.008,-1.674,-0.040,0.998,-0.003,-0.004,0.742,0.005,0.670
7.964,2.913,-0.060,-0.199,-0.500,0.000,0.008,0.009,-1.665,-0.041,0.998,-0.004,-0.005,0.739,0.005,0.673
